Company,Country,Year,Policy & Commitments Score,Traceability Score ,"Know, Show & Fix Score", Spotlight Issues Score,Fashion Transparency Index
Abercrombie & Fitch,United States,2020,6.381340326,0.6325486,2.380861914,1.632596592,2.479559473
Adidas AG,Germany,2020,9.891532167,6.199621,5.873114271,5.918483261,6.938735799
Aeropostale Inc.,United States,2020,1.489151385,0,0.4762023798,0,0.3999634601
Airwair International Ltd (Dr Martens),United Kingdom,2020,3.403631177,0.1266846,0.4762023798,0.4081450091,0.9599064163
Aldi Nord,Germany,2020,5.956092311,1.1384126,2.222160324,1.632667001,2.51946287
Aldi Sud,Germany,2020,6.807454415,2.5295386,2.063558724,1.632561105,2.999126403
ALDO,Canada,2020,5.424729087,0.1266846,1.587341266,1.020426638,1.739887022
"Amazon.com, Inc.",United States,2020,6.700562724,1.89699,1.428559524,1.224372335,2.53912061
American Eagle Outfitters,United States,2020,5.317628997,0.1266846,1.111138886,1.42856757,1.719752828
Anta Sports Products,China,2020,2.553079812,0,0.6349365063,0.6122134912,0.8399688485
Anthropologie,United States,2020,3.50949557,3.2898916,0.7936706329,0.612303849,2.019407467
Aritzia,United States,2020,5.211454555,0.1266846,0.6349365063,1.428570402,1.579789588
Asics Corporation,Japan,2020,8.615381722,4.8083306,2.698417458,3.061158388,4.579120477
Asos,United Kingdom,2020,7.870255194,6.5803788,3.650972203,4.285656989,5.479049442
Balenciaga,Spain,2020,9.785235676,1.2662384,4.285878547,4.489885225,4.67981454
Bally,Switzerland,2020,0,0,0,0,0
Banana Republic,United States,2020,9.14680448,4.5551252,3.809492854,3.265234915,4.999005048
BCBGMAXAZRIA,United States,2020,1.276122228,0,0.3174682532,0,0.3199129786
Beanpole,Republic of Korea,2020,2.127651315,0,0.3174357164,0.6122134912,0.759994092
Belle International Holdings,China,2020,0,0,0,0,0
Bershka,Spain,2020,8.615331067,1.899039,3.968107152,4.489951648,4.41978009
Big W,Australia,2020,7.339392421,1.391126,3.492233317,1.020325394,3.019428164
Billabong International Ltd,Australia,2020,0.9572381962,0,0.6349365063,0,0.3399647805
Bloomingdale's,United States,2020,5.95619804,0.1266846,1.111138886,0.4081591841,1.559811765
Bonprix,Germany,2020,7.12640304,4.9348514,3.174530167,1.428623686,4.299168658
Boohoo.com,United Kingdom,2020,2.552533767,0,0.9524047595,0.8163010097,0.9198853454
Bosideng International Holdings Limited,China,2020,3.510241476,0,0,0,0.7399173975
Bottega Veneta,Italy,2020,9.785235676,1.2662384,4.285878547,4.28576278,4.63980654
Brooks Brothers,United States,2020,2.339951665,0,0.3174682532,0,0.5199129128
"Brooks Sports, Inc",United States,2020,5.84940446,1.3913446,2.222362684,1.836663268,2.539366329
Brunello Cucinelli,Italy,2020,2.446220478,0,0.9524047595,1.020372675,1.059896494
Buckle Inc,United States,2020,3.616042616,0,0.7936706329,0,0.9598130113
Burberry Group plc,United Kingdom,2020,8.509033557,0.1266846,3.333552356,4.489851211,3.599804673
Burlington Stores Inc,United States,2020,4.892230557,0,1.111188881,0.8162930832,1.439744387
C&A,Belgium,2020,9.678864734,6.9603474,5.873114271,5.102017771,6.979116628
C&J Clark International,United Kingdom,2020,6.806655274,5.9467986,1.428707129,1.836767787,4.038872232
Calvin Klein Inc.,United States,2020,8.827776982,5.1877834,3.65070001,4.693919811,5.378954313
Calzedonia,Italy,2020,5.956383362,0,0.1587341266,0.4082448898,1.31980907
Canada Goose,Canada,2020,0.9570957504,0.1266846,0.6349365063,0.2041224449,0.4199783335
Capri Holdings Ltd (formerly Michael Kors),United Kingdom,2020,2.339883672,0,0.9524047595,0,0.7599201297
Carhartt Inc,United States,2020,2.339829617,0,0.3174682532,0,0.5998819678
Carolina Herrera,United States,2020,4.466833917,0,0.4762023798,0.8163041932,1.199755398
Caroll,France,2020,5.105908529,0,0.7936706329,1.020323925,1.399907292
Carrefour S.A.,France,2020,6.382083852,0.1266846,2.063561104,1.020394895,2.039894895
Cato Corp,United States,2020,1.489151385,0,0.9524047595,0,0.5199664598
Celine,France,2020,7.87029959,0.1266846,1.111156344,2.24487766,2.559664077
Celio International,France,2020,0.744330067,0,0,0,0.1399340526
Champion,United States,2020,5.317616858,5.0611536,2.539731738,2.040708605,3.879035792
Chanel SA,France,2020,4.36029877,0,0.4762023798,0.612281629,1.059746368
Chico's FAS Inc,United States,2020,3.935172783,0,1.111138886,0,1.179835482
Children's Place Inc,United States,2020,3.510081192,0,0.9524047595,0,0.8999012635
Chloe,France,2020,6.594770123,0.1266846,1.587391261,0.8162677983,1.999868203
Christian Dior,France,2020,7.87029959,0.1266846,1.111156344,2.448931967,2.599658721
"Claire's Stores, Inc.",United States,2020,2.127229157,0,0.3174682532,0,0.4799210813
Coach Stores Limited,United Kingdom,2020,5.956231697,0.1266846,1.428574603,1.428628675,1.879807913
Cole Haan,United States,2020,2.446456554,0.1266846,0.7936706329,0.2041224449,0.8199711645
Columbia Sportswear,United States,2020,4.998529327,2.5295386,1.746010319,2.448929135,2.819034422
Converse,United States,2020,9.147181702,5.9467438,2.698368255,5.102114482,5.518852439
Cortefiel SA,Spain,2020,4.786544126,0.1266846,1.904776982,0.612256344,1.619900672
Costco Wholesale,United States,2020,5.53030211,0.1266846,1.111138886,0.816219048,1.519715063
Cotton on Group,Australia,2020,3.722533627,2.655786,2.857011918,1.020412007,2.499040455
Debenhams Retail plc,United Kingdom,2020,5.530350245,5.6938118,3.650882531,1.632660985,4.078974326
Decathlon Group,France,2020,6.062872773,0,2.222362684,2.857137411,2.33985441
Desigual,Spain,2020,5.530857674,0,1.587341266,1.224378232,1.679789375
Diane von Furstenberg,United States,2020,0.638089671,0,0.1587341266,0,0.2399538581
Dick's Sporting Goods,United States,2020,5.531253015,0,1.428574603,0.4081702941,1.639869744
