Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
Abercrombie & Fitch,United States,2021,0.952399266,5.681888112,2.1275914,1.204702936,1.991887973
Adidas AG,Germany,2021,5.817451222,9.090941725,4.893476958,3.855344388,5.441923208
Aeropostale Inc.,United States,2021,0,1.666613054,0.638372667,0,0.340006984
Airwair International Ltd (Dr Martens),United Kingdom,2021,1.357820262,4.924314685,0.851107917,0.481915626,1.531931279
Aldi Nord,Germany,2021,1.628100926,6.36365035,2.553293842,1.445668655,2.481895622
Aldi Sud,Germany,2021,2.438942919,7.272771562,2.979035867,1.807212812,3.081990347
ALDO,Canada ,2021,0.141557273,4.393993007,2.127686333,0.963934701,1.421923379
"Amazon.com, Inc.",United States,2021,2.168662255,7.045475524,2.127892175,1.807057465,2.731916271
American Eagle Outfitters,United States,2021,0.141557273,5.681871795,0.851137167,1.204890696,1.551940194
Anta Sports Products,China,2021,0,2.272706294,0.851107917,0.481880811,0.699973947
Anthropologie,United States,2021,0,4.015219114,1.4893825,1.807120746,1.569962253
Aritzia,United States,2021,0.141557273,5.98488345,2.340715833,2.048158988,2.271954263
Asics Corporation,Japan,2021,5.412030226,7.954585082,4.25519585,3.373413289,4.891921543
Asos,United Kingdom,2021,6.267790803,8.257641026,4.042836733,2.409518942,4.745292288
Balenciaga,Spain,2021,1.132458183,8.484888112,4.468244925,4.698826058,4.295269152
Bally,Switzerland,2021,0,4.242333333,0.63820575,1.686652302,1.399941912
Banana Republic,United States,2021,4.466047901,9.090916084,5.319362517,3.493797609,4.921936061
BCBGMAXAZRIA,United States,2021,0,0.530296037,0.638372667,0,0.190013138
Beanpole,Republic of Korea,2021,0.141557273,1.666664336,0,0.602422303,0.701891515
Belle International Holdings,China,2021,0,0,0,0,0
Bershka,Spain,2021,0.141557273,8.939400932,3.403980175,4.216667216,3.581788998
Big W,Australia,2021,2.027104982,7.954554779,3.829774175,1.204808114,2.930020811
Billabong International Ltd,Australia,2021,0,0.227272727,0,0,0.03
Bloomingdale's,United States,2021,0,4.848606061,1.0639705,0.24099578,1.000037051
Bonprix,Germany,2021,4.060626904,7.045480186,2.978653208,1.686688666,3.531929723
Boohoo.com,United Kingdom ,2021,1.763241258,5.227202797,1.276594617,0.843360889,1.971909785
Bosideng International Holdings Limited,China,2021,0,2.575750583,0.212833333,0,0.459995742
Bottega Veneta,Italy,2021,1.132458183,8.484888112,4.468244925,4.578347417,4.255270243
"Brooks Sports, Inc",United States,2021,3.11464458,6.060657343,1.914980333,2.168566319,2.961907217
Brooks Brothers,United States,2021,NA,NA,NA,NA,NA
Brunello Cucinelli,Italy,2021,0,1.084348449,1.276503058,0.481887898,0.499978384
Buckle Inc,United States,2021,0,3.13228062,1.276509583,0,0.709958877
Burberry Group plc,United Kingdom,2021,0.141557273,NA,NA,3.975885609,NA
Burlington Stores Inc,United States,2021,0,1.566193345,1.489215583,1.204840493,1.459973625
C&A,Belgium,2021,8.468537762,0.2410341684,5.106303767,4.337098887,6.536592399
C&J Clark International,United Kingdom,2021,5.547170558,1.686797281,2.127610975,0.843285198,3.411923623
Calvin Klein Inc.,United States,2021,7.123551382,1.9277004,5.106506458,4.216745474,5.888562536
Calzedonia,Italy,2021,0,0.7229548764,0,1.084258641,1.069969151
Canada Goose,Canada ,2021,0.141557273,2.409769939,1.063843167,0.602371713,0.841884723
Capri Holdings Ltd (formerly Michael Kors),United Kingdom ,2021,0.141557273,2.048308261,1.702245083,0.843281325,1.561890172
Carhartt Inc,United States,2021,1.216262989,0.36149987,0.425568583,0,0.860016429
Carolina Herrera,United States,2021,0,1.686587276,0.851137167,1.445761832,1.419973483
Caroll,France,2021,0,1.445983327,1.91488225,0.722897009,1.260015466
Carrefour S.A.,France,2021,1.087539598,2.650596455,2.553451083,1.325294439,2.371968125
Cato Corp,United States,2021,NA,NA,NA,NA,NA
Celine,France,2021,0.141557273,5.30112614,1.914973808,1.084267317,2.221883956
Celio International,France,2021,0,1.325314576,0,0,0.04
Champion,United States,2021,3.925486572,3.252826877,2.340346225,3.252948931,3.931920059
Chanel SA,France,2021,0,0,0.851101392,0.72285185,1.080025775
