Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
Abercrombie & Fitch,United States,2022,0.8219178083,5.984888112,0,1.084348449,0
Adidas AG,Germany,2022,5.479452055,8.787918415,4,3.13228062,4
Aeropostale Inc.,United States,2022,0,1.363582751,0,0,0
Airwair International Ltd (Dr Martens),United Kingdom,2022,2.465753425,5.984890443,8,1.566193345,8
AJIO,India,2022,0,3.181799534,2,0.2410341684,2
Aldi Nord,Germany,2022,2.465753425,7.72727972,8,1.686797281,8
Aldi Sud,Germany,2022,1.780821918,7.272771562,10,1.9277004,10
ALDO,Canada,2022,0.2739726027,4.242480186,2,0.7229548764,2
"Amazon.com, Inc.",United States,2022,2.054794521,8.560615385,0,2.409769939,0
American Eagle Outfitters,United States,2022,0.1369863014,5.681874126,0,2.048308261,0
Anta Sports Products,China,2022,0,1.893918415,0,0.36149987,0
Anthropologie,United States,2022,0.1369863014,3.257641026,0,1.686587276,0
Aritzia,United States,2022,0.1369863014,6.212128205,6,1.445983327,6
Asics Corporation,Japan,2022,5.205479452,7.651554779,8,2.650596455,8
Asos,United Kingdom,2022,5.479452055,8.030363636,0,3.735106192,0
Balenciaga,Spain,2022,1.095890411,9.242426573,10,5.30112614,10
Bally,Switzerland,2022,3.561643836,5.53025641,0,1.325314576,0
Banana Republic,United States,2022,3.561643836,8.636405594,8,3.252826877,8
BCBGMAXAZRIA,United States,2022,0,0.378780886,0,0,0
Beanpole,Republic of Korea,2022,0.1369863014,2.65151049,0,0.6025432543,0
Belle International Holdings,China,2022,0,0,0,0,0
Bershka,Spain,2022,0.1369863014,9.015188811,8,5.421631094,8
Big W,Australia,2022,4.93150685,7.651524476,8,1.807242489,8
Billabong International Ltd,Australia,2022,0,3.560575758,0,0.1205120512,0
Bloomingdale's,United States,2022,0,3.409216783,0,0.1205216922,0
Bonprix,Germany,2022,3.97260274,6.742484848,6,1.445659954,6
Boohoo.com,United Kingdom,2022,1.917808219,5.530223776,0,2.650649584,0
Bosideng International Holdings Limited,China,2022,0,2.575750583,0,0.1205216922,0
Bottega Veneta,Italy,2022,1.095890411,9.242426573,10,5.180659548,10
"Brooks Sports, Inc",United States,2022,3.01369863,5.681869464,0,2.048244222,0
Brunello Cucinelli,Italy,2022,0,3.030440559,4,1.445888969,4
Buckle Inc,United States,2022,0,2.348421911,0,0,0
Burberry Group plc,United Kingdom,2022,0.1369863014,8.712156177,10,4.578395248,10
Burlington Stores Inc,United States,2022,0,3.863601399,0,0.7229938768,0
C&A,Belgium,2022,6.164383562,9.015156177,10,4.337160438,10
C&J Clark International,United Kingdom,2022,4.109589041,6.060682984,0,0.7228970196,0
Calvin Klein Inc.,United States,2022,7.123287672,8.712153846,4,3.49380091,4
Calzedonia,Italy,2022,9.726027397,5.075778555,0,4.096567376,0
Canada Goose,Canada,2022,0,3.787944056,0,0.8432901534,0
Capri Holdings Ltd (formerly Michael Kors),United Kingdom,2022,0.1369863014,5.151508159,0,0.7228531798,0
Carhartt Inc,United States,2022,1.095890411,2.954610723,0,0.1204281428,0
Carolina Herrera,United States,2022,0,4.090841492,0,0.1205120512,0
Caroll,France,2022,0.1369863014,2.575757576,2,0.3614346724,2
Carrefour S.A.,France,2022,0.9589041097,6.363682984,8,1.204966007,8
Carter's Inc,United States,2022,0.1369863014,6.06065035,0,1.80723856,0
Celine,France,2022,0.1369863014,7.196986014,10,3.132691498,10
Celio International,France,2022,0,0.378787879,0,0,0
Champion,United States,2022,3.698630137,6.287983683,2,1.204820809,2
Chanel SA,France,2022,0.1369863014,4.16674359,0,1.566620848,0
Chico's FAS Inc,United States,2022,0,3.181878788,0,0.2409786433,0
Children's Place Inc,United States,2022,0,5.075815851,0,0.2409444444,0
Chloe,France,2022,3.424657535,7.42427972,0,2.168842308,0
Christian Dior,France,2022,0.1369863014,7.045470862,10,3.132691498,10
Coach Stores Limited,United Kingdom,2022,0.1369863014,6.136389277,4,2.650642567,4
Cole Haan,United States,2022,0.1369863014,2.045536131,0,0.1204665921,0
Columbia Sportswear,United States,2022,5.068493151,6.439410256,2,2.1689042,2
Converse,United States,2022,5.616438356,9.242456876,8,4.698567585,8
Cortefiel SA,Spain,2022,0,5.378853147,0,1.204955086,0
Costco Wholesale,United States,2022,0.1369863014,4.015207459,0,0.4820457946,0
Cotton on Group,Australia,2022,2.328767123,4.393841492,0,1.08418224,0
Decathlon Group,France,2022,0.1369863014,6.59095338,0,2.168792176,0
Deichmann SE,Germany,2022,0,1.894020979,0,0,0
Desigual,Spain,2022,1.506849315,5.22732634,0,1.445968621,0
Dick's Sporting Goods,United States,2022,3.287671233,6.212207459,0,0.6023628152,0
Diesel SpA,Italy,2022,0,3.787927739,0,0.3614522452,0
"Dillard's, Inc.",United States,2022,0,1.81827972,0,0,0
DKNY,United States,2022,0,0.757538462,0,0,0
