Company,Country,Year,Accountability Score,Decarbonisation Score,Energy Procurement Score,Financing Decarbonisation Score,Just Transition and Advocacy Score,Traceability Score,Fashion Transparency Index
Abercrombie & Fitch,,2024,4.666666667,5.777777778,0,2.666666667,0,5.777777778,1.8
Adidas AG,,2024,6.166666667,6.222222222,6,7.777777778,0,6.222222222,4.85
Aeropostale Inc.,,2024,0,0,0,0,0,0,0
Airwair International Ltd (Dr Martens),,2024,2.333333333,2.222222222,2,2.666666667,0,2.222222222,2.266666667
AJIO,,2024,0,0,2,2.666666667,0,0,1.166666667
Aldi Nord,,2024,2.166666667,2.444444444,0,0,0,2.444444444,0.6833333333
Aldi Sud,,2024,2,2.444444444,2,0,0,2.444444444,1.3
ALDO,,2024,0,0,0,0,10,0,0.5
"Amazon.com, Inc.",,2024,1.833333333,2,2,4.888888889,0,2,2.516666667
American Eagle Outfitters,,2024,0.8333333333,0,2.444444444,4.666666667,0,0,3.75
Anta Sports Products,,2024,0.1666666667,0,0,4.666666667,0,0,1.183333333
Anthropologie,,2024,0.3333333333,0,0,0,0,0,0.2333333333
Aritzia,,2024,0.6666666667,0,2,2.666666667,0,0,1.833333333
Asics Corporation,,2024,6.333333333,6.666666667,8,4.666666667,0,6.666666667,4.966666667
Asos,,2024,4.833333333,6.222222222,0,2.666666667,0,6.222222222,2.15
Balenciaga,,2024,2.166666667,1.333333333,8,5.555555556,0,1.333333333,4.483333333
Bally,,2024,5.666666667,5.777777778,4,0,0,5.777777778,2.7
Banana Republic,,2024,5.166666667,6.222222222,4,4.666666667,0,6.222222222,3.55
BCBGMAXAZRIA,,2024,0,0,0,0,0,0,0
Beanpole,,2024,0,0,0,0,0,0,0
Belle International Holdings,,2024,0,0,0,0,0,0,0
Bershka,,2024,1,0,4,4.666666667,10,0,4.066666667
Big W,,2024,3.666666667,4.888888889,0,0,0,4.888888889,1.566666667
Billabong International Ltd,,2024,0,0,0,0,0,0,0
Bloomingdale's,,2024,2.166666667,2.444444444,0,2.666666667,0,2.444444444,1.55
Bonprix,,2024,1.5,1.333333333,0,2.666666667,0,1.333333333,1.816666667
Boohoo.com,,2024,1.833333333,2,0,2.666666667,0,2,1.85
Bosideng International Holdings Limited,,2024,0,0,0,0,0,0,0
Bottega Veneta,,2024,2.166666667,1.333333333,8,5.555555556,0,1.333333333,4.483333333
"Brooks Sports, Inc",,2024,5.333333333,6.222222222,0,0,0,6.222222222,1.933333333
Brunello Cucinelli,,2024,0.6666666667,0,0,2.666666667,0,0,1.666666667
Buckle Inc,,2024,0,0,0,0,0,0,0.06666666667
Burberry Group plc,,2024,0.5,0,0.4444444444,5.555555556,0,0,2.35
Burlington Stores Inc,,2024,0,0,2,2.666666667,0,0,1.166666667
C&A,,2024,8.333333333,10,0,4.666666667,0,10,2.866666667
C&J Clark International,,2024,1.166666667,1.555555556,0,0,0,1.555555556,0.1833333333
Calvin Klein Inc.,,2024,4.5,4.888888889,2.444444444,6.888888889,0,4.888888889,3.316666667
Calzedonia,,2024,8.833333333,9.777777778,7.555555556,9.111111111,0,9.777777778,5.216666667
Canada Goose,,2024,0.3333333333,0,2,2,0,0,1.3
