Company,Fashion Transparency Index
Abercrombie & Fitch,1.920285407
Adidas AG,5.366123924
Aeropostale Inc.,0.2079926734
Airwair International Ltd (Dr Martens),3.25569719
AJIO,1.322217402
Aldi Nord,3.360932584
Aldi Sud,4.164217668
ALDO,1.418360849
"Amazon.com, Inc.",2.071537879
American Eagle Outfitters,1.832337353
Anta Sports Products,0.5466552257
Anthropologie,1.024536733
Aritzia,2.77101276
Asics Corporation,5.393541165
Asos,3.474856879
Balenciaga,5.701686668
Bally,1.48198533
Banana Republic,5.256181444
BCBGMAXAZRIA,0.1279850387
Beanpole,0.4283752383
Belle International Holdings,0
Bershka,5.009652395
Big W,3.879216912
Billabong International Ltd,0.1999905561
Bloomingdale's,0.9539722863
Bonprix,3.873546691
Boohoo,1.43435279
Bosideng International Holdings Limited,0.2419825664
Bottega Veneta,5.685685286
Brooks Brothers,0.5199129128
"Brooks Sports, Inc",2.208917868
Brunello Cucinelli,1.723308457
Buckle Inc,0.4272861725
Burberry Group plc,4.944948888
Burlington Stores Inc,0.9910502682
C&A,6.628462434
C&J Clark International,1.86882473
Calvin Klein Inc.,4.678828018
Calzedonia,2.77129569
Canada Goose,0.8223682829
Capri Holdings Ltd (formerly Michael Kors),1.419024881
Carhartt Inc,0.5599804794
Carolina Herrera,1.194608997
Caroll,1.053984059
Carrefour S.A.,3.139039818
Carter's Inc,1.366665149
Cato Corp,0.5199664598
Celine,4.106971256
Celio International,0.04998601052
Champion,3.872189131
Chanel SA,0.8399539978
Chico's FAS Inc,0.7913082629
Children's Place Inc,1.008646833
Chloe,2.117688955
Christian Dior,4.094970184
"Claire's Stores, Inc.",0.3949602952
Coach Stores Limited,2.897296027
Cole Haan,0.4606265158
Columbia Sportswear,2.416180425
Converse,5.630150692
Cortefiel SA,1.423680157
Costco Wholesale,1.062321078
Cotton on Group,1.493135453
Debenhams Retail plc,4.078974326
Decathlon Group,2.469688007
Deichmann SE,0.03333333334
Desigual,1.544626372
Diane von Furstenberg,0.2399538581
Dick's Sporting Goods,1.731683758
Diesel SpA,1.087291526
"Dillard's, Inc.",0.3933017197
DKNY,0.0959909326
Dolce & Gabbana,0.2606461123
Dressmann,4.845524276
DSW Inc.,0.5392851203
Eddie Bauer,0.2553167763
El Corte Ingles S.A.,2.254251148
Elie Tahari,0
Ermenegildo Zegna,2.380866402
Esprit Holdings Limited,5.355025824
Express Inc,0.4199792245
F&F,2.958926728
Fabletics,0.08
Falabella,1.224642412
Famous Footwear,0.5596871446
"Fanatics, Inc",1.011168331
Fashion Nova,0.0419958812
Fendi,5.179925598
FILA,0.6733100522
Fjallraven,4.98032659
Foot Locker Inc.,0.7679574744
Forever 21,0.3299338994
Foschini,1.147966926
"Fossil Group, Inc.",1.217669906
Free People,1.032537089
Fruit of the Loom,3.172222926
Furla,0.4532759882
G-star RAW,4.784798821
Gap inc.,5.256181444
George (brand),2.191588142
Gerry Weber,0.541686447
Gianni Versace S.r.l.,1.385024238
Gildan Activewear Inc.,6.202076952
Giorgio Armani SpA,3.539968281
GU,4.64776426
Gucci,7.160828175
Guess? Inc,3.006629908
Gymshark Limited,1.906651743
H&M,6.249762523
Hanesbrands,3.849996602
Heilan Home,0.7818071584
Helly Hansen AS,3.050388777
Hema,1.796171989
Hermes International,3.762909089
Hollister,2.08425118
Hudson's Bay Company,0.9589602054
Hugo Boss AG,4.316935317
Intimissimi S.p.A,3.327136962
Ito Yokado,1.0343384
J.Crew,2.059779604
Jack & Jones,2.704982248
Jack Wolfskin,0.8866647583
JC Penney,2.919000227
JD Sports Fashion plc,1.806861192
Jessica Simpson,0.819929472
Jil Sander,0.8293304402
Jockey International Inc,0.2213252889
Joe Fresh,0.8619807756
John Lewis,1.872405322
Jordan (Brand),5.118171151
JustFab,1.949621124
K-Way,0.1773129093
Kate Spade & Company,2.625316827
Kathmandu Holdings Ltd,1.955005923
Kaufland,1.36350273
Kiabi,2.131107692
